"SYMBOL","ENSEMBL","ENTREZID","lengths","logFC","logCPM","F","PValue","FDR"
"EMILIN1","ENSG00000138080",11117,3953,-5.32031486590307,4.91927814314723,94.6351596358171,1.06248763924719e-05,0.0018626615242977
"ASTN1","ENSG00000152092",460,9225,-6.63682454800782,2.02113539345545,94.360939184279,1.07398565477513e-05,0.0018626615242977
"COL4A1","ENSG00000187498",1282,7877,-6.88850124926179,1.88067504044798,93.6582898277797,1.10416596040944e-05,0.0018626615242977
"CEACAM6","ENSG00000086548",4680,3052,5.51267965916139,6.1483617571181,93.3207103360097,1.11904289705727e-05,0.0018626615242977
"COL8A1","ENSG00000144810",1295,9408,-5.89478956755239,7.06538077099632,93.0546738600433,1.13094396623252e-05,0.0018626615242977
"S100A1","ENSG00000160678",6271,3028,5.29189595365213,5.05225996336712,92.2574697894772,1.16756741290474e-05,0.0018626615242977
"GRIA2","ENSG00000120251",2891,8941,-5.63773438253777,5.56121506331952,92.1878408147793,1.17083613650696e-05,0.0018626615242977
"GATA3","ENSG00000107485",2625,3253,3.9963315462002,6.20868181584359,92.1621711678712,1.17204408217691e-05,0.0018626615242977
"HLA-DRB5","ENSG00000198502",3127,1260,-4.20992894448697,4.21714138704035,92.0961587444158,1.17515761855871e-05,0.0018626615242977
"MMP23B","ENSG00000189409",8510,2273,-5.01985327615493,4.65014691749016,92.0125218646193,1.17911730142701e-05,0.0018626615242977
"RASEF","ENSG00000165105",158158,6649,5.2478593225324,5.04008588838633,91.9578463051912,1.18171487026415e-05,0.0018626615242977
"GATA6-AS1","ENSG00000266010",NA,1823,-4.19496375668417,3.60709284746938,91.5758870870796,1.20006238208278e-05,0.0018626615242977
"WNT7B","ENSG00000188064",7477,5051,4.62758586858172,5.21639644751832,91.5011788588722,1.20369257618803e-05,0.0018626615242977
"SERINC2","ENSG00000168528",347735,3520,4.21524865036123,6.46759280895685,91.4279623951,1.20726361983211e-05,0.0018626615242977
"GLT8D2","ENSG00000120820",83468,3271,-5.91045481294853,2.6166275279485,91.3950487704818,1.20887325893678e-05,0.0018626615242977
"INMT","ENSG00000241644",11185,3376,-6.44280306179656,5.38467490310533,91.2299230733135,1.21698936197689e-05,0.0018626615242977
"PCDH1","ENSG00000156453",5097,5641,4.51801894548841,3.88793006941674,90.5662973221712,1.25030286537005e-05,0.0018626615242977
"RP11-420N3.2",NA,NA,2019,-6.3660026932383,4.034607847467,90.5558004802742,1.25083890255965e-05,0.0018626615242977
"HOXC6","ENSG00000197757",3223,3540,5.71088080080707,3.20440848077596,90.4553334970207,1.25598397234273e-05,0.0018626615242977
"PIK3R3","ENSG00000117461",8503,7676,4.82978266760888,4.83714943742483,90.0333795798339,1.27788416212365e-05,0.0018626615242977
"ANGPTL1","ENSG00000116194",9068,3403,-5.90049014414339,3.04313528058322,89.4911096962651,1.30673517337436e-05,0.0018626615242977
"AXL","ENSG00000167601",558,5154,-6.00024709453639,4.68235206040744,89.4668129723198,1.30804683383212e-05,0.0018626615242977
"TNFRSF9","ENSG00000049249",3604,2284,-6.70491319663941,3.73258021336257,89.1854473847513,1.32335700862089e-05,0.0018626615242977
"MYEOV","ENSG00000172927",26579,3760,4.82999992982248,3.7242453024555,88.525285690845,1.36016845663993e-05,0.0018626615242977
"TNXB","ENSG00000168477",7148,15166,-6.46898963508314,5.98855291846894,88.4594918233447,1.36390700635383e-05,0.0018626615242977
"ADAMTS7","ENSG00000136378",11173,7730,-5.83611137819986,2.42532931398496,88.3904565846627,1.36784356695084e-05,0.0018626615242977
"THBD","ENSG00000178726",7056,4109,-4.86626095162054,4.39373446957431,88.1000620980535,1.38455904352125e-05,0.0018626615242977
"KLK11","ENSG00000167757",11012,3113,-6.54750872355325,6.57903451142641,87.7932185066315,1.40249992648627e-05,0.0018626615242977
"MAOA","ENSG00000189221",4128,4213,-4.97030191467596,3.84641202699065,87.5122455100627,1.41918391521025e-05,0.0018626615242977
"RBP4","ENSG00000138207",5950,1449,-6.05246307921094,6.4580225294953,87.4450300685814,1.42321186439974e-05,0.0018626615242977
"CDH11","ENSG00000140937",1009,9920,-5.52696317834309,6.33473833797225,87.3173422635082,1.43090314091763e-05,0.0018626615242977
"EPCAM","ENSG00000119888",4072,2519,16.4820011319158,7.478507553653,276.960620136739,1.48245264001431e-05,0.0018626615242977
"PAPPA","ENSG00000182752",5069,11573,-5.36292727884195,6.91639161690296,86.3568866371243,1.49045470749741e-05,0.0018626615242977
"SLC15A3","ENSG00000110446",51296,6118,-4.28928621803386,3.70236570248656,86.0700326801831,1.50883939520272e-05,0.0018626615242977
"C10orf54",NA,NA,5128,-4.43859783440851,5.33874951837388,85.9233110065326,1.5183525562689e-05,0.0018626615242977
"FMO1","ENSG00000010932",2326,3574,-5.74633150226669,3.61808277594021,85.8436789578223,1.52354716481744e-05,0.0018626615242977
"PRSS8","ENSG00000052344",5652,3008,4.99084965425182,6.49164544548139,85.5857565071945,1.54052544835033e-05,0.0018626615242977
"NPR1","ENSG00000169418",4881,5003,-6.15916296538571,3.27530575415905,85.528826446424,1.54430482334744e-05,0.0018626615242977
"TNFRSF11B","ENSG00000164761",4982,2827,-6.29755912495574,6.88049639988619,85.2919793405616,1.56015327733886e-05,0.0018626615242977
"LTBP2","ENSG00000119681",4053,9310,-4.97899961997367,3.45429052035639,85.2812227506991,1.56087786520957e-05,0.0018626615242977
"SLC16A1","ENSG00000155380",6566,6438,-4.41784295822195,6.94949333322078,85.2770959078856,1.56115597026523e-05,0.0018626615242977
"SLC7A7","ENSG00000155465",9056,5131,-6.235593732392,5.11267976799526,85.0715686690308,1.57508506132476e-05,0.0018626615242977
"S100P","ENSG00000163993",6286,1280,5.3662480948921,8.88390187966324,84.8459887140847,1.59055259939637e-05,0.0018626615242977
"TJP3","ENSG00000105289",27134,4259,4.85032450142028,4.03534240386993,84.8185814382058,1.59244477836186e-05,0.0018626615242977
"C1RL","ENSG00000139178",51279,5014,-3.53380784694802,4.61817815425735,84.6067553625874,1.60716448875753e-05,0.0018626615242977
"COX7A1","ENSG00000161281",1346,1006,-7.04410427981781,3.38994818427691,84.4738489635718,1.61648704542706e-05,0.0018626615242977
"CLDN4","ENSG00000189143",1364,4693,5.10294141444024,7.59507385685663,84.2976565979074,1.62895036825202e-05,0.0018626615242977
"C1R","ENSG00000159403",715,4696,-6.65677236206034,9.44377298797863,84.276671253801,1.63044280793905e-05,0.0018626615242977
"LAD1","ENSG00000159166",3898,3237,5.72986208295549,4.80128769477492,84.0640202274073,1.64566307175368e-05,0.0018626615242977
"KRT23","ENSG00000108244",25984,2902,5.32792236497379,6.40028754257119,84.0490433137419,1.6467417138127e-05,0.0018626615242977
"CYTL1","ENSG00000170891",54360,1003,-7.15594960573635,2.43314921101994,84.0384474650098,1.64750536436949e-05,0.0018626615242977
"BATF","ENSG00000156127",10538,980,4.3518151920008,3.68578585280981,83.9561119759947,1.65345446315002e-05,0.0018626615242977
"PRRG4","ENSG00000135378",79056,5530,3.51426713349752,4.60833056191949,83.9384508819211,1.65473405264913e-05,0.0018626615242977
"FRAS1","ENSG00000138759",80144,18960,-4.4072430301289,5.36208054662705,83.7460477185371,1.66875470872696e-05,0.0018626615242977
"BNC2","ENSG00000173068",54796,14812,-5.83261034921202,5.39152103234166,83.7027037607416,1.67193372126964e-05,0.0018626615242977
"BMP2","ENSG00000125845",650,3601,-5.7156162428521,4.23890873672415,83.6121621015956,1.678598871364e-05,0.0018626615242977
"TRIB3","ENSG00000101255",57761,2948,3.12938102386631,5.79022408020208,83.5180704183139,1.68556060767215e-05,0.0018626615242977
"RANBP17","ENSG00000204764",64901,10965,5.75392271827227,3.74153410279407,82.6530909607676,1.7512825368573e-05,0.00190023779006277
"NAALADL1","ENSG00000168060",10004,4044,-6.64735854721361,1.96099266793456,82.4793246296553,1.76486989678572e-05,0.00190023779006277
"SULF1","ENSG00000137573",23213,9404,-6.72010041720127,6.09637379693734,82.2952041680234,1.77941107645628e-05,0.00190023779006277
"AEBP1","ENSG00000106624",165,4955,-6.71140534799056,6.77569096142157,82.2840065365378,1.78030025113552e-05,0.00190023779006277
"TIMP1","ENSG00000102265",7076,1790,-5.29426310010625,12.5138026812161,82.1370115008261,1.79202444254453e-05,0.00190023779006277
"C2","ENSG00000166278",717,5536,-6.50332014570076,6.83048451516392,82.0455467699859,1.79936834998888e-05,0.00190023779006277
"MYLK","ENSG00000065534",4638,22166,-4.80469750743181,6.42334125360844,81.9985797694388,1.80315406459799e-05,0.00190023779006277
"CNKSR1","ENSG00000142675",10256,4043,3.98028360906323,3.94321708107953,81.3818413730528,1.85380227593495e-05,0.00193619510715761
"BCHE","ENSG00000114200",590,3082,-5.82358162921219,5.41785231407214,81.2886541006553,1.86160907054053e-05,0.00193619510715761
"FILIP1L","ENSG00000168386",11259,5897,-6.65125177355467,6.31271386244345,80.7011055203622,1.91178990360082e-05,0.0019543859422566
"PLSCR4","ENSG00000114698",57088,4227,-4.24969477050123,4.1186207393694,80.6547574625776,1.91581995384936e-05,0.0019543859422566
"C1QL1","ENSG00000131094",10882,1295,-5.07970895164596,5.76713394580878,80.631386214727,1.91785615781047e-05,0.0019543859422566
"SPINT2","ENSG00000167642",10653,5199,3.49852718690501,8.55265114550729,80.512843104153,1.92822593435735e-05,0.0019543859422566
"PDIA2","ENSG00000185615",64714,2248,-6.11915512626192,2.75930092812792,80.2986163193044,1.94714434467728e-05,0.00196107012385124
"CFH","ENSG00000000971",3075,8144,-6.33795138998193,8.34452223768444,79.8500550238789,1.98751484899905e-05,0.00198913986113974
"SAMD9","ENSG00000205413",54809,6852,-3.49451742871512,5.66882126479081,79.3930344177616,2.02972931680723e-05,0.00200760144419852
"PIP","ENSG00000159763",5304,585,5.43549240769268,3.59389918505615,79.3773959959356,2.03119356825213e-05,0.00200760144419852
"CD200","ENSG00000091972",4345,2991,-6.5816274211442,5.50240069628225,79.0303460984848,2.06403113749721e-05,0.00201146096686415
"FAM153B","ENSG00000182230",202134,10799,-5.89044683443141,5.21856286733157,78.9484968436625,2.07187221462972e-05,0.00201146096686415
"SCG5","ENSG00000166922",6447,2192,-5.42240805622352,4.51452849057389,78.926409509495,2.07399454058702e-05,0.00201146096686415
"DAB2","ENSG00000153071",1601,7714,-4.20936168804085,9.21406307879104,78.8055092708198,2.08565989777279e-05,0.00201146096686415
"CORO2B","ENSG00000103647",10391,3998,-6.46293345806448,3.17355992157317,78.6745060241862,2.09839286868068e-05,0.00201154974212745
"GPR176","ENSG00000166073",11245,5119,-5.02211744379622,4.67915647936855,78.3768164778353,2.12769055299613e-05,0.00202742154310344
"SAMD9L","ENSG00000177409",219285,7135,-3.95151642142306,3.9788573529394,77.8768237373807,2.1780592613282e-05,0.00203475755098029
"SDC1","ENSG00000115884",6382,3595,3.47274913506486,6.53135261318374,77.8422358657754,2.18159848448714e-05,0.00203475755098029
"CXCL12","ENSG00000107562",6387,6380,-7.1302179436196,3.51889008894148,77.5714408505832,2.20955786331675e-05,0.00203475755098029
"PCOLCE","ENSG00000106333",5118,3532,-5.10030175585329,5.02094202791243,77.5168744592349,2.21524595805544e-05,0.00203475755098029
"RIC3","ENSG00000166405",79608,7700,-6.10706105553971,4.52585767798479,77.3634190357735,2.231340896451e-05,0.00203475755098029
"ILDR2","ENSG00000143195",387597,8283,-4.67097175533398,3.40409402265176,77.1900467375106,2.2497011756201e-05,0.00203475755098029
"MT1H","ENSG00000205358",4496,723,-6.61878192395097,6.99619385794595,77.0341356634957,2.26637394820884e-05,0.00203475755098029
"IFI44L","ENSG00000137959",10964,10240,-5.43028115075335,3.66714153316242,77.0161048028033,2.26831208406424e-05,0.00203475755098029
"CCDC8","ENSG00000169515",83987,3213,-6.86889391495727,2.51017492916802,76.961325918455,2.27421299327547e-05,0.00203475755098029
"BACH1","ENSG00000156273",571,7717,-2.87092822474413,6.32238643979137,76.9267515448518,2.27794731176627e-05,0.00203475755098029
"PLXNA4","ENSG00000221866",91584,16372,-4.81445463508455,3.39341083511942,76.8857200181811,2.28238901459095e-05,0.00203475755098029
"LTF","ENSG00000012223",4057,4247,3.69633222731479,6.69039379409037,76.821746967259,2.28933579501666e-05,0.00203475755098029
"RAMP2","ENSG00000131477",10266,1148,-4.5041371314242,3.59789218486102,76.709238398657,2.30161728886101e-05,0.00203475755098029
"ADAMTS1","ENSG00000154734",9510,7063,-4.71126601533391,5.87054617523617,75.8370167009324,2.39968093728184e-05,0.002097021896972
"CLIC5","ENSG00000112782",53405,5961,-5.79064578974123,5.83827407511198,75.7792915605097,2.40635367864275e-05,0.002097021896972
"BSPRY","ENSG00000119411",54836,2339,5.32799410445039,4.8876154455217,75.7342036394973,2.41158177053904e-05,0.002097021896972
"IL6ST","ENSG00000134352",3572,9292,-3.5459491178139,8.23252797051783,75.6170288016957,2.4252351710084e-05,0.00209743300414439
"SPINT1","ENSG00000166145",6692,3587,3.33688256048086,6.40873193922406,75.2074254496822,2.47372909456667e-05,0.00211920218801017
"SERPING1","ENSG00000149131",710,3603,-6.36823839354179,9.4033493880411,75.0538881419034,2.49221890691386e-05,0.00211920218801017
"FLRT2","ENSG00000185070",23768,9163,-5.91965484390017,6.44365133319666,74.8419607401204,2.51802530898306e-05,0.00211920218801017
"SLC7A5","ENSG00000103257",8140,4745,3.38287957250862,6.6613723262884,74.8328085515195,2.51914728274054e-05,0.00211920218801017
"OLFML3","ENSG00000116774",56944,2265,-5.30819642943302,2.43745140530049,74.7408178375949,2.53045930000686e-05,0.00211920218801017
"ELF5","ENSG00000135374",2001,4494,5.48055408490147,4.85709377150558,74.7126192452844,2.53393957458241e-05,0.00211920218801017
"WISP1",NA,NA,3844,-6.16059406730966,1.86577780991883,74.0317917373068,2.61981486931753e-05,0.00211920218801017
"GSDMA","ENSG00000167914",284110,2230,-5.52731870145004,2.71958702899544,73.9820826853142,2.62622644529726e-05,0.00211920218801017
"GJA1","ENSG00000152661",2697,3037,-5.80435266274836,7.54703852243395,73.9630131396771,2.62869128308703e-05,0.00211920218801017
"C2orf40","ENSG00000119147",84417,1741,-6.14418831995004,3.28343159157837,73.9621644694331,2.62880104536644e-05,0.00211920218801017
"CLIP3","ENSG00000105270",25999,3772,-4.84031852327346,2.34668920922741,73.814252696611,2.64801902186397e-05,0.00211920218801017
"CLDN3","ENSG00000165215",1365,1273,5.11789625601135,6.96214197626021,73.7335602579189,2.65857738420072e-05,0.00211920218801017
"TEX29","ENSG00000153495",121793,930,-5.00321279920613,2.38087692065257,73.7138270236027,2.66116742820959e-05,0.00211920218801017
"RP11-680F8.1",NA,NA,2736,-5.53769181180072,1.93569937887117,73.6677102450792,2.66723270730357e-05,0.00211920218801017
"KRT81","ENSG00000205426",3887,1929,5.40975325307819,8.45582213829521,73.657375606581,2.66859429007721e-05,0.00211920218801017
"LIPH","ENSG00000163898",200879,4122,6.02597964072711,3.55156385223653,73.5939333669561,2.6769718481594e-05,0.00211920218801017
"TMEM98","ENSG00000006042",26022,5187,-4.09939262215123,6.71637694370297,73.563072501411,2.68105892408037e-05,0.00211920218801017
"NDUFA4L2","ENSG00000185633",56901,2806,-4.94893392926351,4.46048830219065,73.3660976268117,2.7073301351227e-05,0.00211920218801017
"ROR2","ENSG00000169071",4920,5818,-4.23507634135546,5.3348349060585,73.3403035303896,2.71079418403723e-05,0.00211920218801017
"RCAN2","ENSG00000172348",10231,3706,-5.05633867225909,4.28872332798211,73.2077078177727,2.72868904961197e-05,0.00211920218801017
"IRF6","ENSG00000117595",3664,4792,4.23585413027357,3.35234570085536,73.1595180500297,2.73522924391609e-05,0.00211920218801017
"IRX2","ENSG00000170561",153572,3581,4.12792175430154,4.12468442791863,73.0089660570901,2.75578850549556e-05,0.00211920218801017
"VTN","ENSG00000109072",7448,3092,-7.09761161033283,5.27383960030302,73.0022697723059,2.75670742737451e-05,0.00211920218801017
"ADRA1A","ENSG00000120907",148,5848,-6.47336821529712,1.52721155782995,72.7477142688498,2.79192575171587e-05,0.00211938727866484
"TPM2","ENSG00000198467",7169,4047,-5.26282604441623,7.76712836250035,72.7289594197205,2.79454272793807e-05,0.00211938727866484
"GPR160","ENSG00000173890",26996,4458,4.60772991861147,4.66684232711378,72.6178880741606,2.81010423375748e-05,0.00211938727866484
"HOXA10","ENSG00000253293",3206,3707,4.18132412980051,3.88104661886413,72.6025577429928,2.81226057432489e-05,0.00211938727866484
